,RK,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,Toronto Blue Jays,AL,162,5509,891,1480,308,17,232,852,570,1151,88,23,.269,.340,.457,.797,12,54,36,62,2518,557,140,1724,1395,1.24,24051,6231
1,2,Houston Astros,AL,162,5459,729,1363,278,26,230,691,486,1392,121,48,.250,.315,.437,.752,22,56,28,43,2383,534,102,1439,1438,1.00,23543,6073
2,3,Baltimore Orioles,AL,162,5485,713,1370,246,20,217,686,418,1331,44,25,.250,.307,.421,.728,23,51,20,32,2307,483,127,1561,1402,1.11,22911,6007
3,4,New York Yankees,AL,162,5567,764,1397,272,19,212,737,554,1227,63,25,.251,.323,.421,.744,23,63,24,54,2343,503,105,1558,1568,0.99,24523,6268
4,5,Seattle Mariners,AL,162,5544,656,1379,262,22,198,624,478,1336,69,45,.249,.311,.411,.722,31,36,38,35,2279,482,123,1607,1418,1.13,23814,6131
5,6,Los Angeles Dodgers,NL,162,5385,667,1346,263,26,187,638,563,1258,59,34,.250,.326,.413,.739,31,60,49,30,2222,476,135,1630,1365,1.19,23602,6090
6,7,Colorado Rockies,NL,162,5572,737,1479,274,49,186,702,388,1283,97,43,.265,.315,.432,.748,47,33,44,34,2409,509,114,1628,1374,1.18,22661,6071
7,8,New York Mets,NL,162,5527,683,1351,295,17,177,654,488,1290,51,25,.244,.312,.400,.712,42,68,29,32,2211,489,130,1540,1537,1.00,23931,6145
8,8,Washington Nationals,NL,162,5428,703,1363,265,13,177,665,539,1344,57,23,.251,.321,.403,.724,38,44,55,51,2185,455,129,1704,1252,1.36,23247,6117
9,10,Los Angeles Angels,AL,162,5417,661,1331,243,21,176,621,435,1150,52,34,.246,.307,.396,.702,34,58,37,40,2144,440,116,1676,1453,1.15,22727,5990
10,11,Texas Rangers,AL,162,5511,751,1419,279,32,172,707,503,1233,101,39,.257,.325,.413,.739,32,76,43,54,2278,483,99,1648,1407,1.17,23738,6187
11,12,Chicago Cubs,NL,162,5491,689,1341,272,30,171,657,567,1518,95,37,.244,.321,.398,.719,47,74,32,35,2186,473,101,1462,1338,1.09,24646,6200
12,13,Cincinnati Reds,NL,162,5571,640,1382,257,27,167,613,496,1255,134,38,.248,.312,.394,.706,38,42,47,40,2194,451,112,1640,1493,1.10,23533,6196
13,13,Tampa Bay Rays,AL,162,5485,644,1383,278,32,167,612,436,1310,87,45,.252,.314,.406,.720,22,84,19,47,2226,477,121,1510,1469,1.03,23210,6071
14,15,Boston Red Sox,AL,162,5640,748,1495,294,33,161,706,478,1148,71,27,.265,.325,.415,.740,28,46,30,42,2338,488,127,1756,1440,1.22,24709,6237
15,16,Minnesota Twins,AL,162,5467,696,1349,277,44,156,661,439,1264,70,38,.247,.305,.399,.704,31,40,30,41,2182,477,133,1634,1424,1.15,23100,6017
16,17,Arizona Diamondbacks,NL,162,5649,720,1494,289,48,154,680,490,1312,132,44,.264,.324,.414,.738,40,33,46,57,2341,491,134,1759,1321,1.33,23332,6276
17,18,Detroit Tigers,AL,161,5605,689,1515,289,49,151,660,455,1259,83,51,.270,.328,.420,.748,36,41,23,35,2355,489,152,1584,1460,1.08,23702,6159
18,19,San Diego Padres,NL,162,5457,650,1324,260,36,148,623,426,1327,82,29,.243,.300,.385,.685,22,40,52,42,2100,444,108,1597,1411,1.13,23200,6019
19,20,Oakland Athletics,AL,162,5600,694,1405,277,46,146,661,475,1119,78,29,.251,.312,.395,.707,21,40,14,38,2212,469,124,1704,1548,1.10,23808,6171
20,21,Milwaukee Brewers,NL,162,5480,655,1378,274,34,145,624,412,1299,84,29,.251,.307,.393,.700,35,41,55,34,2155,453,130,1730,1292,1.34,22558,6024
21,22,Cleveland Indians,AL,161,5439,669,1395,303,29,141,640,533,1157,86,28,.256,.325,.401,.725,34,39,47,50,2179,473,134,1675,1443,1.16,23795,6109
22,23,Pittsburgh Pirates,NL,162,5631,697,1462,292,27,140,661,461,1322,98,45,.260,.323,.396,.719,46,89,63,41,2228,459,115,1739,1327,1.31,23889,6285
23,24,Kansas City Royals,AL,162,5575,724,1497,300,42,139,689,383,973,104,34,.269,.322,.412,.734,28,77,34,47,2298,481,133,1759,1560,1.13,22705,6116
24,25,St. Louis Cardinals,NL,162,5484,647,1386,288,39,137,619,506,1267,69,38,.253,.321,.394,.716,47,66,39,42,2163,464,128,1677,1363,1.23,23494,6139
25,26,Chicago White Sox,AL,162,5533,622,1381,260,27,136,595,404,1231,68,42,.250,.306,.380,.686,22,65,30,37,2103,423,125,1807,1306,1.38,23140,6070
26,26,San Francisco Giants,NL,162,5565,696,1486,288,39,136,663,457,1159,93,36,.267,.326,.406,.732,30,49,45,37,2260,463,142,1830,1314,1.39,23191,6153
27,28,Philadelphia Phillies,NL,162,5529,626,1374,272,37,130,586,387,1274,88,32,.249,.303,.382,.684,20,54,53,29,2110,439,119,1693,1389,1.22,22644,6053
28,29,Miami Marlins,NL,162,5463,613,1420,236,40,120,575,375,1150,112,45,.260,.310,.384,.694,30,39,71,40,2096,396,133,1921,1216,1.58,22254,5988
29,30,Atlanta Braves,NL,162,5420,573,1361,251,18,100,548,471,1107,69,33,.251,.314,.359,.674,39,44,67,31,1948,369,148,1902,1296,1.47,22644,6034
