,RK,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,Toronto Blue Jays,AL,-,618,108,162,39,2,34,106,73,136,13,4,.262,.344,.497,.840,0,8,1,8,307,75,17,189,157,1.20,2925,708
1,2,Los Angeles Angels,AL,-,618,88,153,25,4,33,84,42,136,3,3,.248,.300,.461,.761,1,6,1,4,285,62,8,169,173,0.98,2567,672
2,3,Colorado Rockies,NL,-,659,120,205,39,7,32,116,51,123,8,7,.311,.360,.537,.897,1,2,4,5,354,78,19,194,165,1.18,2752,721
3,4,New York Yankees,AL,-,647,125,188,37,3,31,123,61,147,10,2,.291,.352,.501,.853,0,9,5,15,324,71,7,149,190,0.78,3007,739
4,5,Baltimore Orioles,AL,-,625,93,162,32,2,30,90,59,157,6,7,.259,.328,.461,.789,1,7,1,4,288,64,13,164,160,1.03,2722,696
5,6,Milwaukee Brewers,NL,-,638,102,177,30,7,27,97,51,141,20,8,.277,.330,.473,.803,0,0,4,2,302,64,16,210,132,1.59,2727,695
6,6,Minnesota Twins,AL,-,625,92,166,39,1,27,89,56,142,10,7,.266,.327,.461,.787,0,4,0,7,288,67,15,166,173,0.96,2723,692
7,6,Seattle Mariners,AL,-,645,91,181,39,0,27,88,44,148,7,8,.281,.325,.467,.791,0,1,0,6,301,66,11,188,145,1.30,2716,696
8,9,Houston Astros,AL,-,604,82,159,24,3,26,78,56,138,20,10,.263,.327,.442,.769,2,5,5,8,267,53,15,169,166,1.02,2604,678
9,10,Cincinnati Reds,NL,-,635,96,172,40,4,25,95,62,133,21,6,.271,.340,.465,.804,1,7,0,5,295,69,12,176,171,1.03,2798,709
10,10,Los Angeles Dodgers,NL,-,605,72,154,34,6,25,69,52,159,11,8,.255,.323,.455,.778,1,13,1,7,275,65,18,169,149,1.13,2677,678
11,12,New York Mets,NL,-,629,74,156,36,1,24,70,51,150,3,5,.248,.311,.423,.734,0,7,1,1,266,61,10,146,189,0.77,2750,689
12,12,Washington Nationals,NL,-,633,89,171,38,1,24,85,59,151,5,3,.270,.333,.447,.780,3,3,3,5,283,63,16,186,149,1.25,2807,703
13,14,Detroit Tigers,AL,-,642,102,196,36,5,23,98,52,130,11,8,.305,.360,.484,.845,1,7,1,7,311,64,19,170,173,0.98,2848,709
14,15,San Diego Padres,NL,-,612,86,151,25,3,21,85,53,142,11,5,.247,.310,.400,.710,0,7,1,9,245,49,12,174,167,1.04,2651,683
15,15,Texas Rangers,AL,-,648,120,196,37,7,21,114,80,130,15,6,.302,.382,.478,.860,0,9,6,10,310,65,13,209,142,1.47,2953,753
16,17,Kansas City Royals,AL,-,665,106,206,44,2,20,104,37,115,11,5,.310,.355,.472,.827,0,12,2,4,314,66,14,189,175,1.08,2578,720
17,18,Chicago Cubs,NL,-,596,88,138,26,6,19,84,86,168,14,7,.232,.336,.391,.727,2,12,0,8,233,51,9,167,140,1.19,2860,702
18,18,Tampa Bay Rays,AL,-,608,76,157,36,3,19,72,49,131,14,8,.258,.319,.421,.740,0,8,0,5,256,58,14,177,162,1.09,2633,670
19,20,Cleveland Indians,AL,-,607,68,156,35,4,18,62,57,126,17,7,.257,.323,.417,.740,0,5,8,5,253,57,11,179,170,1.05,2806,682
20,20,Miami Marlins,NL,-,641,88,178,29,2,18,83,38,134,28,10,.278,.321,.413,.734,1,5,0,5,265,49,13,207,140,1.48,2611,689
21,22,Oakland Athletics,AL,-,625,81,161,29,4,17,79,60,107,15,3,.258,.323,.398,.721,0,2,0,4,249,50,17,208,170,1.22,2668,692
22,23,Arizona Diamondbacks,NL,-,640,84,183,36,5,16,80,59,128,25,11,.286,.347,.433,.780,1,4,0,5,277,57,16,189,161,1.17,2659,708
23,23,Boston Red Sox,AL,-,629,78,164,36,4,16,75,54,132,11,3,.261,.318,.407,.725,0,0,0,2,256,56,14,190,159,1.19,2848,685
24,25,San Francisco Giants,NL,-,629,72,171,25,5,15,69,36,124,15,3,.272,.314,.399,.713,0,7,1,9,251,45,16,193,167,1.16,2614,682
25,26,Pittsburgh Pirates,NL,-,634,86,168,34,4,14,80,47,138,19,10,.265,.329,.397,.726,0,15,3,4,252,52,6,173,168,1.03,2732,703
26,27,Chicago White Sox,AL,-,614,71,155,28,4,13,67,49,118,8,4,.252,.309,.375,.684,0,3,2,3,230,45,19,207,158,1.31,2640,671
27,27,St. Louis Cardinals,NL,-,616,80,159,40,6,13,75,59,137,7,6,.258,.329,.406,.735,0,9,0,5,250,59,18,177,166,1.07,2714,689
28,29,Atlanta Braves,NL,-,611,75,164,37,0,12,73,56,101,11,8,.268,.335,.388,.723,0,9,2,8,237,49,20,215,161,1.34,2599,686
29,30,Philadelphia Phillies,NL,-,610,63,149,21,4,8,55,44,128,24,4,.244,.295,.331,.626,1,2,2,6,202,33,16,200,157,1.27,2531,664
