RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
1,"Carrasco, C",CLE,P,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,2,0,1,0,0,2,0,*.**,9,3
1,"Pinder, B",NYY,P,2,1,0,1,1,0,0,1,0,0,0,0,1,1,2,3,0,0,0,0,2,1,0,0,0,-.--,1,1
3,"Brett, R",TB,2B,3,3,0,2,1,0,0,0,1,0,0,0,0.667,0.75,1,1.75,0,0,0,0,3,1,0,0,1,0,20,4
3,"Masterson, J",BOS,P,1,3,0,2,0,0,0,1,0,1,0,0,0.667,0.667,0.667,1.333,0,0,0,0,2,0,0,0,0,-.--,9,3
3,"Pelfrey, M",MIN,P,2,3,0,2,0,0,0,0,0,1,0,0,0.667,0.667,0.667,1.333,0,0,0,0,2,0,0,0,0,-.--,12,3
6,"Bandy, J",LAA,C,2,2,1,1,0,0,1,1,0,0,0,0,0.5,0.5,2,2.5,0,0,0,0,4,1,0,0,1,0,8,2
6,"Feldman, S",HOU,P,1,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,-.--,10,2
6,"Gallardo, Y",TEX,P,2,4,0,2,1,0,0,0,0,1,0,0,0.5,0.5,0.75,1.25,0,0,0,0,3,1,0,1,0,*.**,16,4
6,"Noel, R",NYY,CF,15,2,5,1,0,0,0,0,0,0,5,2,0.5,0.5,0.5,1,0,0,0,0,1,0,0,1,0,*.**,6,2
6,"Norris, D",DET,P,1,2,1,1,0,0,1,2,1,1,0,0,0.5,0.667,2,2.667,0,0,0,0,4,1,0,0,0,-.--,11,3
6,"Nuno, V",SEA,P,4,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,1,0,*.**,6,2
6,"Rodriguez, W",KC,P,1,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,1,0,*.**,8,2
6,"Samardzija, J",CWS,P,1,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,0,-.--,13,2
6,"Wright, Jr., D",BAL,P,2,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,1,0,1,0,0,1,0,*.**,8,3
6,"Young, C",KC,P,3,4,0,2,0,0,0,3,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0,2,0,0,1,0,*.**,9,4
16,"Anderson, B",OAK,C,4,5,0,2,0,0,0,1,1,1,0,0,0.4,0.429,0.4,0.829,0,0,1,1,2,0,0,2,2,1,32,8
16,"Heathcott, S",NYY,CF,17,25,6,10,2,0,2,8,2,5,0,1,0.4,0.429,0.72,1.149,0,0,0,1,18,4,0,4,7,0.57,111,30
16,"Stassi, M",HOU,C,11,15,4,6,0,0,1,2,1,5,0,0,0.4,0.438,0.6,1.038,0,0,1,0,9,1,1,4,2,2,66,17
19,"Duffy, M",HOU,3B,8,8,0,3,1,0,0,3,1,2,0,0,0.375,0.444,0.5,0.944,0,0,0,0,4,1,0,2,1,2,49,9
20,"Cabrera, M",DET,1B,119,429,64,145,28,1,18,76,77,82,1,1,0.338,0.44,0.534,0.974,15,3,0,2,229,47,19,120,103,1.17,1985,511
21,"Chavez, J",OAK,P,3,3,0,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667,0,0,2,0,1,0,0,2,0,*.**,16,5
21,"Estrada, M",TOR,P,2,6,0,2,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667,0,0,0,0,2,0,0,2,0,*.**,20,6
21,"Fields, D",DET,LF,1,3,1,1,1,0,0,0,0,2,0,0,0.333,0.333,0.667,1,0,0,0,0,2,1,0,0,0,-.--,15,3
21,"Hamels, C",TEX,P,1,3,0,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,0,0,-.--,9,3
21,"Marte, A",LAA,LF,5,6,0,2,0,0,0,0,1,1,0,0,0.333,0.5,0.333,0.833,0,1,0,0,2,0,0,2,1,2,31,8
21,"Weeks, J",BOS,2B,3,9,1,3,0,0,0,1,0,2,0,0,0.333,0.333,0.333,0.667,0,0,0,0,3,0,0,2,2,1,44,9
21,"Wilson, C",LAA,P,2,6,0,2,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0,0,0,0,2,0,0,2,1,2,18,6
28,"Colabello, C",TOR,1B,101,333,55,107,19,1,15,54,22,96,2,0,0.321,0.367,0.52,0.886,0,3,0,2,173,35,12,96,48,2,1372,360
29,"Bogaerts, X",BOS,SS,156,613,84,196,35,3,7,81,32,101,10,2,0.32,0.355,0.421,0.776,1,3,3,3,258,45,16,203,135,1.5,2530,654
30,"Revere, B",TOR,LF,56,226,35,72,9,1,1,19,13,28,7,2,0.319,0.354,0.381,0.734,0,1,3,3,86,11,1,75,58,1.29,841,246
31,"Aguilar, J",CLE,1B,7,19,0,6,1,0,0,2,0,7,0,0,0.316,0.35,0.368,0.718,0,1,0,0,7,1,0,2,4,0.5,80,20
31,"Wilson, J",DET,2B,21,38,4,12,3,0,0,5,0,15,0,0,0.316,0.35,0.395,0.745,0,2,1,0,15,3,1,7,6,1.17,135,41
33,"Altuve, J",HOU,2B,154,638,86,200,40,4,15,66,33,67,38,13,0.313,0.353,0.459,0.812,8,9,3,6,293,59,17,198,199,0.99,2227,689
34,"Blanks, K",TEX,1B,18,67,10,21,5,0,3,6,4,20,1,0,0.313,0.352,0.522,0.875,0,0,0,0,35,8,1,12,15,0.8,279,71
35,"Lindor, F",CLE,SS,99,390,50,122,22,4,12,51,27,69,12,2,0.313,0.353,0.482,0.835,0,1,13,7,188,38,12,136,95,1.43,1578,438
36,"Brantley, M",CLE,LF,137,529,68,164,45,0,15,84,60,51,15,1,0.31,0.379,0.48,0.859,8,2,0,5,254,60,14,177,156,1.13,2149,596
37,"Arencibia, J",TB,C,24,71,9,22,3,0,6,17,1,22,0,0,0.31,0.315,0.606,0.921,0,0,0,1,43,9,1,13,16,0.81,260,73
38,"Cain, L",KC,CF,140,551,101,169,34,6,16,72,37,98,28,6,0.307,0.361,0.477,0.838,4,12,0,4,263,56,16,157,147,1.07,2299,604
39,"Fielder, P",TEX,DH,158,613,78,187,28,0,23,98,64,88,0,0,0.305,0.378,0.463,0.841,14,11,0,5,284,51,21,207,157,1.32,2483,693
