StadiumID,City,State
1,San Diego,CA
2,Atlanta,GA
3,,
4,,
5,,
6,,
7,,
8,New York,NY
9,,
10,Cleveland,OH
11,,
12,,
13,San Francisco,CA
14,Minneapolis,MN
15,,
16,,
17,,
18,St. Petersburg,FL
19,Milwaukee,WI
20,,
21,Arlington,TX
22,Baltimore,MD
23,Oakland,CA
24,,
25,Chicago,IL
26,,
27,Chicago,IL
28,Anaheim,CA
29,Pittsburgh,PA
30,,
31,Los Angeles,CA
32,,
33,Kansas City,MO
34,,
35,New York,NY
36,,
37,,
38,,
39,,
40,,
41,St. Louis,MO
42,Toronto,ON
43,,
44,Denver,CO
45,,
46,,
47,,
48,,
49,,
50,Boston,MA
51,Philadelphia,PA
52,,
53,Washington,DC
54,Phoenix,AZ
55,,
56,,
57,Miami,FL
58,,
59,,
60,,
61,,
62,Detroit,MI
63,Houston,TX
64,Cincinnati,OH
65,Seattle,WA
66,,
67,,
68,Atlanta,GA
