,RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,"Abreu, J",CWS,1B,19,59,10,30,5,1,1,8,1,7,0,0,.508,.516,.678,1.194,0,1,0,1,40,7,2,18,7,2.57,130,62
1,2,"Granderson, C",NYM,CF,22,52,10,23,5,0,3,13,10,5,0,2,.442,.531,.712,1.243,0,1,0,1,37,8,0,11,14,0.79,134,64
2,3,"Trout, M",LAA,CF,22,59,22,26,3,3,5,15,10,9,5,1,.441,.514,.847,1.362,0,0,0,1,50,11,3,14,14,1.00,179,70
3,4,"Betts, M",BOS,CF,19,56,15,24,8,2,2,7,4,6,2,1,.429,.467,.750,1.217,0,0,0,0,42,12,1,19,8,2.38,89,60
4,5,"Mayberry, J",NYM,LF,24,53,11,22,2,0,4,10,6,10,0,0,.415,.475,.679,1.155,0,1,0,1,36,6,1,9,14,0.64,123,61
5,6,"Cron, C",LAA,1B,26,75,11,31,11,2,3,16,4,9,2,0,.413,.432,.733,1.165,0,0,0,2,55,16,4,19,22,0.86,166,81
6,7,"Kozma, P",STL,SS,24,49,9,20,1,0,0,5,2,10,3,3,.408,.423,.429,.852,0,0,1,1,21,1,2,13,10,1.30,84,53
7,8,"Cain, L",KC,CF,19,55,8,21,4,0,0,10,0,7,0,2,.382,.397,.455,.851,0,2,0,1,25,4,2,15,15,1.00,201,58
8,9,"Valbuena, L",HOU,3B,17,50,4,19,6,0,2,9,4,8,0,1,.380,.418,.620,1.038,0,0,0,1,31,8,0,5,19,0.26,102,55
9,10,"Burns, B",OAK,CF,28,83,21,31,3,3,0,8,5,8,5,4,.373,.418,.482,.900,0,2,0,1,40,6,1,25,21,1.19,189,91
10,11,"Pollock, A",ARI,CF,22,70,12,26,8,0,1,13,5,10,4,1,.371,.413,.529,.942,0,0,0,0,37,9,3,27,10,2.70,208,75
11,12,"Kemp, M",SD,RF,18,54,9,20,6,1,4,14,2,7,1,1,.370,.393,.741,1.134,0,0,0,0,40,11,4,19,12,1.58,178,56
12,13,"Freese, D",LAA,3B,20,55,10,20,4,0,3,12,2,10,0,0,.364,.379,.600,.979,0,0,0,1,33,7,0,16,10,1.60,132,58
13,13,"Lamb, J",ARI,3B,25,66,12,24,6,2,2,6,6,17,0,1,.364,.434,.606,1.040,0,3,1,1,40,10,0,13,14,0.93,245,77
14,15,"Boesch, B",CIN,RF,23,61,9,22,3,0,4,14,1,10,0,0,.361,.359,.607,.966,0,0,0,2,37,7,3,20,14,1.43,125,64
15,15,"Duffy, M",SF,3B,26,61,8,22,4,2,3,15,4,16,0,0,.361,.400,.639,1.039,0,0,0,0,39,9,1,13,11,1.18,144,65
16,17,"Lagares, J",NYM,CF,21,64,14,23,7,1,3,6,5,12,1,0,.359,.406,.641,1.046,0,0,0,0,41,11,2,16,15,1.07,135,69
17,17,"Travis, D",TOR,2B,27,64,6,23,6,0,0,7,4,10,0,3,.359,.400,.453,.853,0,1,1,1,29,6,1,21,13,1.62,118,71
18,19,"Belt, B",SF,1B,23,70,10,25,3,2,4,10,13,21,1,2,.357,.458,.629,1.086,0,0,0,0,44,9,0,9,15,0.60,234,83
19,19,"Negron, K",CIN,2B,24,56,12,20,3,2,1,6,7,11,1,2,.357,.446,.536,.982,0,2,0,0,30,6,1,11,15,0.73,142,65
20,21,"Sogard, E",OAK,2B,22,62,9,22,7,1,0,7,3,6,1,0,.355,.379,.500,.879,0,0,0,1,31,8,2,19,18,1.06,126,66
21,22,"Inciarte, E",ARI,LF,24,68,8,24,4,0,0,2,5,6,4,2,.353,.400,.412,.812,0,1,0,1,28,4,1,22,18,1.22,217,75
22,22,"Middlebrooks, W",SD,3B,18,51,11,18,5,0,2,9,5,11,0,0,.353,.411,.569,.979,0,0,0,0,29,7,1,10,13,0.77,235,56
23,24,"Navarro, E",LAA,1B,27,54,3,19,3,0,0,7,5,9,1,3,.352,.407,.407,.814,0,0,0,0,22,3,0,19,7,2.71,124,59
24,24,"Zunino, M",SEA,C,21,54,11,19,6,0,7,14,7,14,0,1,.352,.435,.852,1.287,0,1,0,0,46,13,0,10,11,0.91,219,62
